In term of quality education at affordable cost government institutes are better than the private institutes. ,Private institutes are effective in terms of studies than government institutes. ,Government institutes have better infrastructure than private institutes.,Private institute’s syllabus is better than the government institute.,"Government institutes faculties are serious and conscious about their student's study as well as extra-curricular activities compared to private institutes. 
(বেসরকারি শিক্ষা প্রতিষ্ঠানের থেকে সরকারি শিক্ষা প্রতিষ্ঠানের শিক্ষক এবং শিক্ষা কর্মীরা তাদের শিক্ষার্থীদের পড়াশুনা এবং পাঠক্রম বহিরভুক্ত কার্যক্রম নিয়ে  বেশি মনোযোগী।)",Private institutes have model laboratory than government institutes.,Government institutes have better industry connection for their student's future rather than private institutes.  ,Private institutes have better future for the student rather than government institutes. ,As we know the surrounding matters the most. The discipline of the students in government institutes is better than private institutes. ,Private institutes have high experienced professor than government institutes. ,Government institutes have more political influences than private institutes.,The availability of financial assistance and scholarships in private institutes is better than government institutes.,The involvement of parents and guardians in the educational process in government institutes is better than private institutes.,The students overall satisfaction is better than private institute as compared to government institute. ,Communication skills plays a vital role for the growth of your career. Government institute’s communication skill is better than private institutes. ,"Holistic development (including academics, extracurricular activities, personal growth, and social skills) in private institute’s is better than government institutes? ",The alumni network in government institutes is better compared to private institutes? ,The strong job placement provided in private institutes as compared to government institutes. ,"Government institutes offer comprehensive student support services like counselling, career guidance than private institutes. ",Private institutes provide multiple research opportunities for students than government institutes. ,Government institutes are accessible and affordable for students from various backgrounds as compared to private institutions. ,Private institutes place a greater emphasis on fostering innovation and creativity than government institutes.,Government institutes offers a stronger academic influence and effectively persuades parents to enroll their children as compared to private institutes. ,Private institutions provide much more security and safety to their students than the government institutes.,Government institutes usually have higher tuition fees due to additional facilities & services with additional costs can be significant.,Private institute’s students are groomed enough than government institutes. 
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Agree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Neutral,Strongly disagree,Agree
Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree
Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Neutral,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Strongly disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Disagree
Neutral,Agree,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree
Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Neutral
Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree
Agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Neutral,Disagree,Strongly agree,Disagree,Strongly agree,Neutral,Agree,Strongly disagree,Strongly agree,Disagree,Neutral,Disagree,Strongly agree,Disagree,Strongly agree
Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree
Neutral,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Strongly agree,Strongly disagree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree
Neutral,Agree,Agree,Neutral,Strongly disagree,Agree,Agree,Neutral,Disagree,Neutral,Strongly agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly disagree,Agree
Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree
Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree
Neutral,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Disagree,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Strongly disagree,Strongly disagree
Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Agree
Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral
Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Strongly agree,Neutral,Disagree,Disagree,Disagree,Disagree
Neutral,Agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Disagree,Disagree,Strongly agree,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Strongly agree,Disagree,Neutral
Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly disagree,Disagree,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral
Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly agree
Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Neutral
Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Strongly agree,Agree,Disagree,Agree,Disagree,Neutral
Agree,Disagree,Strongly disagree,Neutral,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Strongly agree,Neutral,Agree,Agree,Disagree,Strongly disagree
Neutral,Agree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral
Strongly agree,Disagree,Neutral,Neutral,Disagree,Strongly agree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Disagree
Strongly agree,Agree,Agree,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Agree,Strongly disagree,Neutral,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Strongly disagree,Agree,Disagree,Agree
Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Strongly disagree,Agree
Neutral,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree
Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Neutral
Agree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Neutral
Strongly agree,Disagree,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Strongly agree,Neutral,Disagree,Agree,Disagree,Disagree
Strongly agree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Strongly agree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Disagree,Disagree,Agree
Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Agree
Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Strongly disagree,Agree,Disagree,Agree
Agree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Neutral
Neutral,Agree,Disagree,Neutral,Neutral,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly disagree,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Disagree
Strongly disagree,Strongly agree,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly disagree,Neutral,Neutral,Agree,Strongly agree,Neutral,Strongly disagree,Agree,Disagree,Disagree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Strongly agree
Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Neutral
Disagree,Strongly agree,Disagree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Strongly disagree,Strongly agree,Neutral,Strongly agree,Disagree,Strongly agree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly agree
Agree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Disagree,Neutral,Strongly agree,Disagree
Agree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Agree
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Neutral
Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Neutral,Disagree,Neutral,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree
Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Strongly agree,Agree,Disagree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly disagree,Neutral,Disagree,Strongly agree
Neutral,Strongly agree,Neutral,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Neutral,Strongly agree,Neutral,Agree
Neutral,Strongly agree,Disagree,Neutral,Strongly disagree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Strongly disagree,Strongly agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Strongly agree,Disagree,Strongly agree
Strongly agree,Disagree,Strongly disagree,Neutral,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree
Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree
Neutral,Agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Disagree,Neutral,Disagree,Neutral
Strongly agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly agree,Neutral,Neutral,Agree,Disagree,Agree
Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Agree,Agree,Disagree,Neutral,Disagree,Strongly disagree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Agree,Disagree,Strongly agree,Disagree,Agree
Agree,Strongly agree,Disagree,Neutral,Neutral,Strongly agree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Disagree,Agree,Disagree,Neutral
Strongly agree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly disagree,Agree
Neutral,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Strongly agree
Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral
Strongly agree,Strongly agree,Strongly disagree,Neutral,Neutral,Strongly agree,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Neutral,Agree,Disagree,Neutral,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree
Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral
Strongly agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral
Disagree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Strongly disagree,Disagree,Strongly agree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree
Neutral,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Strongly disagree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly agree
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Neutral,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
